"Best Solution","Value","Standard Deviation"
"-2.67611177686017E+15","51731155","1237129758.40849"
"-2807588443367","1675592","1089227444.26482"
"-411006645575","641104","670674937.740697"
"-2643810695","51424","544410304.353694"
"-19015","144","103945260.749034"
"13","2","66802203.018374"
"25","4","7755063.76598724"
"29","6","18190.3543776972"
"29","6","3005.99987075657"
"29","6","402.743585178335"
"29","6","38.862031229265"
"29","6","23.0437864066221"
"29","6","1.8888663510037"
"29","6","1.76817328947397"
"29","6","1.96053007141424"
"29","6","1.99885024422806"
"29","6","2.1270020994429"
"29","6","2.18774013460277"
"29","6","2.06670374456914"
"29","6","2.01602773197492"
"25","4","1.9286109586656"
"25","4","1.94286197236915"
"25","4","2.0296650536197"
"25","4","2.01602773197492"
"25","4","1.99309151648976"
"25","4","1.99309151648976"
"25","4","2.03419051086243"
"25","4","2.0296650536197"
"25","4","1.96053007141424"
"25","4","1.96053007141424"
